Iter 1180 | Time 3.1672(3.2217) | Bit/dim 1.8525(1.8397) | Logit LogP -1273.5808(-1272.4335) | Steps 145(140.11) | Reg 0.0000(0.0000)
Iter 1190 | Time 3.2799(3.2132) | Bit/dim 1.8172(1.8395) | Logit LogP -1263.6926(-1272.1760) | Steps 145(140.43) | Reg 0.0000(0.0000)
validating...
Epoch 0004 | Time 50.5514, Bit/dim 1.8217, Logit LogP -1262.6820
Iter 1200 | Time 3.2788(3.2199) | Bit/dim 1.8145(1.8433) | Logit LogP -1268.5771(-1274.0784) | Steps 139(140.83) | Reg 0.0000(0.0000)
Iter 1210 | Time 3.0842(3.2178) | Bit/dim 1.8728(1.8487) | Logit LogP -1279.7396(-1275.3270) | Steps 145(141.76) | Reg 0.0000(0.0000)
Iter 1220 | Time 3.1516(3.1869) | Bit/dim 1.8377(1.8449) | Logit LogP -1273.8765(-1274.4610) | Steps 145(141.24) | Reg 0.0000(0.0000)
Iter 1230 | Time 3.0750(3.2004) | Bit/dim 1.8586(1.8427) | Logit LogP -1277.0363(-1273.5232) | Steps 139(141.58) | Reg 0.0000(0.0000)
Iter 1240 | Time 3.1504(3.1864) | Bit/dim 1.8168(1.8382) | Logit LogP -1262.5557(-1271.7778) | Steps 139(141.55) | Reg 0.0000(0.0000)
Iter 1250 | Time 3.2129(3.1903) | Bit/dim 1.8360(1.8362) | Logit LogP -1266.0288(-1270.0884) | Steps 145(142.14) | Reg 0.0000(0.0000)
Iter 1260 | Time 3.2181(3.2192) | Bit/dim 1.8469(1.8355) | Logit LogP -1271.2518(-1270.1690) | Steps 139(143.18) | Reg 0.0000(0.0000)
Iter 1270 | Time 3.1467(3.2179) | Bit/dim 1.8397(1.8354) | Logit LogP -1270.7437(-1269.6233) | Steps 145(143.19) | Reg 0.0000(0.0000)
Iter 1280 | Time 3.4964(3.2265) | Bit/dim 1.8723(1.8331) | Logit LogP -1272.4115(-1268.3366) | Steps 151(143.89) | Reg 0.0000(0.0000)
Iter 1290 | Time 3.3685(3.2402) | Bit/dim 1.8046(1.8298) | Logit LogP -1274.6606(-1268.1738) | Steps 151(144.24) | Reg 0.0000(0.0000)
Iter 1300 | Time 3.4152(3.2421) | Bit/dim 1.8432(1.8281) | Logit LogP -1274.6364(-1268.4815) | Steps 145(143.90) | Reg 0.0000(0.0000)
Iter 1310 | Time 3.0646(3.2358) | Bit/dim 1.8235(1.8284) | Logit LogP -1264.6738(-1267.0207) | Steps 145(143.54) | Reg 0.0000(0.0000)
Iter 1320 | Time 3.2030(3.2408) | Bit/dim 1.8545(1.8293) | Logit LogP -1270.8525(-1266.8955) | Steps 145(144.11) | Reg 0.0000(0.0000)
Iter 1330 | Time 3.2474(3.2387) | Bit/dim 1.7910(1.8280) | Logit LogP -1244.8289(-1264.9553) | Steps 145(143.90) | Reg 0.0000(0.0000)
Iter 1340 | Time 3.4128(3.2609) | Bit/dim 1.8180(1.8279) | Logit LogP -1259.3313(-1264.4772) | Steps 145(144.52) | Reg 0.0000(0.0000)
Iter 1350 | Time 3.4332(3.2509) | Bit/dim 1.7941(1.8273) | Logit LogP -1262.3013(-1263.6625) | Steps 145(144.80) | Reg 0.0000(0.0000)
Iter 1360 | Time 3.0889(3.2679) | Bit/dim 1.7925(1.8289) | Logit LogP -1249.6945(-1265.2526) | Steps 145(144.99) | Reg 0.0000(0.0000)
Iter 1370 | Time 3.4032(3.2735) | Bit/dim 1.8370(1.8260) | Logit LogP -1265.5417(-1264.9464) | Steps 145(144.87) | Reg 0.0000(0.0000)
Iter 1380 | Time 3.4220(3.2486) | Bit/dim 1.8009(1.8197) | Logit LogP -1251.9098(-1262.5492) | Steps 151(144.79) | Reg 0.0000(0.0000)
Iter 1390 | Time 3.4216(3.2508) | Bit/dim 1.8493(1.8203) | Logit LogP -1271.2954(-1261.6041) | Steps 151(144.68) | Reg 0.0000(0.0000)
Iter 1400 | Time 3.5981(3.2816) | Bit/dim 1.8279(1.8197) | Logit LogP -1276.9109(-1263.1627) | Steps 151(145.12) | Reg 0.0000(0.0000)
